File Type,Files Deleted,Files Created,Files Written,Directories Created,Opened REG keys,DLLs Loaded,Hosts,VirusTotal
6,0,0,0,0,0,21,0,0
6,0,0,0,0,2,2,0,0
1,0,1,0,2,272,13,6,52
6,0,0,0,0,10,6,0,0
1,0,1,0,2,272,13,3,49
6,1,3,3,8,86,30,0,0
1,0,1,0,2,272,13,4,56
6,0,0,0,0,1,0,0,0
6,0,0,0,0,70,8,0,0
6,0,43,45,28,227,66,0,0
1,30,7,8,1,549,8,3,60
0,0,0,0,0,8,15,3,57
5,0,5,4,1,2,9,3,66
6,0,0,0,0,31,29,0,0
6,0,0,0,0,12,4,0,0
3,0,0,0,0,2,7,4,42
6,0,0,0,0,4,1,0,0
3,0,0,0,0,2,7,3,43
1,3,4,4,4,27,18,3,51
5,0,5,4,1,2,12,3,61
6,1,1,1,1,55,46,0,0
6,0,0,0,1,34,10,0,0
3,0,0,0,0,2,7,3,42
6,0,0,0,0,11,8,0,0
6,0,0,1,0,25,15,0,0
6,0,4,3,1,7,6,0,0
6,6,1,0,8,179,61,0,0
1,0,0,0,0,4,10,3,51
0,0,0,0,0,8,17,4,54
6,0,0,0,0,154,46,0,0
6,8,7,8,15,335,74,0,0
4,0,0,0,0,3,2,0,33
6,0,0,0,0,8,5,0,0
0,1,1,0,0,12,18,3,56
6,0,4,2,3,280,16,0,0
6,0,0,0,0,9,5,0,0
0,0,0,0,0,0,1,3,61
1,0,11,9,13,411,46,4,55
0,0,0,0,0,7,20,3,61
3,0,0,0,0,2,7,3,40
6,0,0,0,0,9,4,0,0
6,0,6,4,8,278,24,0,0
3,0,0,0,0,2,7,3,40
6,0,1,1,3,3,4,0,0
2,0,0,0,1,1,21,4,60
0,0,0,0,0,8,17,3,56
6,0,0,0,0,0,0,0,0
6,0,36,19,8,12,28,0,0
6,0,1,1,6,6,5,0,0
1,0,1,0,2,272,13,4,52
6,1,1,0,0,9,6,0,0
6,0,2,1,2,18,16,0,0
6,1,33,33,11,156,36,0,0
6,2,12,10,8,283,23,0,0
5,0,5,4,1,2,12,3,39
6,0,0,0,1,185,15,0,0
6,8,8,9,15,371,76,0,0
2,0,1,1,0,20,26,4,52
6,1,72,72,6,339,53,0,0
0,0,0,0,0,0,1,5,62
0,0,0,0,0,0,2,3,58
6,7,9,9,3,27,21,0,0
2,0,0,0,0,6,21,3,56
6,0,0,0,0,4,1,0,0
6,0,6,3,9,276,18,0,0
6,2,3,3,7,77,34,0,0
0,0,0,0,0,5,17,3,60
